Name,YearBuilt,Cmpy,Teucap,Deadweight,Length,Beam,Draft,Speed,
Sheng An Da 12, 2008,Hapagg-lloyd,300,4081,307,51,17,12
Vantage, 2007,CMACGM,365,7000,328,52,16,14
Gati Pride, 2009,Evergreen,442,7000,331,61,24,12
Lagoa Mas, 2009,MSC,537,8100,393,71,17,13
Kola Dunia, 2010,Hapagg-lloyd,608,8150,379,68,21,14
Jork Reliance, 2007,CMACGM,803,10500,461,71,24,18
Vega Scorpio, 2010,Evergreen,957,11768,456,74,28,18
SITC Melody, 2009,MSC,1005,10600,508,70,23,18
Paul Russ, 2010,Hapagg-lloyd,1338,17230,529,82,31,19
Cape Nabil, 2010,CMACGM,1732,23550,575,89,35,20
Frisia Bonn, 2010,Evergreen,1970,28632,621,90,37,21
Comoe, 2008,CMACGM,2007,27000,620,93,37,21
NYK Veronica, 2009,Evergreen,2664,34578,689,98,37,21
ACX Chrystal, 2008,CMACGM,2900,34200,743,98,39,22,0
Safmarine Bayete, 2009,MSC,3078,43127,721,105,39,22
SCI New Delhi, 2009,Hapagg-lloyd,3534,41975,757,106,39,22
UASC Sitrah, 2009,CMACGM,4178,52788,267,105,41,24
OOCL Brisbane, 2009,Evrgreen,4578,50575,855,105,41,24,0
Tian Fyu He, 2010,CMACGM,5089,63143,964,105,39,26
Africa Three, 2010,CMACGM,3650,51604,748,1,122,41,21
Bay Bridge, 2010,Hapagg-lloyd,4432,52055,875,116,41,24
CSAV Suape, 2009,CMACGM,5301,65700,964,105,44,24
Rio Blanco, 2009,Evergreen,5905,80115,940,131,44,23
Ever Salute, 2008,Evergreen,7024,78200,984,140,46,25
Marit Maersk, 2009,MSC,7 700,115993,1 203,8,140,4,50,9,24
Bunga Seroja Dua, 2007,CMACGM,7943,103773,1042,141,47,25
OOCL London, 2007,MSC,8 063,99 636,1059,140,47,26
Vienna Express, 2010,Hapagg-lloyd,8749,103648,1099,137,47,23